mileage	price
44802	9173
15523	11278
16914	27036
90944	9430
152124	7550
36654	17243
146008	3974
38580	7981
142805	3934
93141	9476
121988	4922
115667	2898
5147	7309
28528	8272
26461	15767
46098	9757
119129	5035
164966	3453
130038	2917
73294	9250
173403	3141
56147	5592
155001	2836
82206	4016
18828	6614
92271	8180
9532	9451
120413	7179
138426	3726
155345	1822
149109	3925
151399	4958
104506	11261
78200	5852
108561	6485
38993	9900
49522	8125
61737	4192
106452	5540
117632	3505
45918	16096
77330	7222
168665	1059
29650	10445
106046	3121
43092	9432
46271	12239
143633	7048
89475	4436
146020	1622
21438	15365
95854	2107
31739	9383
112658	7124
48091	5259
127099	2211
45628	8320
66491	10536
16168	18745
22296	5972
133039	6536
2484	13879
118101	8209
68834	14938
55130	6811
78231	7320
54521	13131
129087	4690
63547	15224
81415	4939
48883	4163
13745	15055
60324	7706
66324	7068
31967	9009
150165	4396
132462	3912
123733	6438
1380	22796
136437	5077
141526	2053
138403	4821
9696	5929
116049	3569
19157	9275
77002	9967
149370	2450
18526	12599
10144	16651
139565	3116
5387	12231
94139	2455
14964	11991
126988	8290
113907	2865
73070	4988
68338	3321
93886	4160
120347	2637
77306	6917
78271	4094
71923	5304
139466	4337
130258	3917
43058	5268
139737	2726
11274	8161
85398	3464
109243	2773
56201	18122
72314	11002
104025	7409
152165	6375
1725	24543
70285	4885
126480	1966
110791	2058
12483	27835
48818	5961
40653	6469
29886	7400
102078	7689
54969	6784
24791	9010
79932	6750
17507	12314
33279	15735
10863	10008
133770	2471
17131	16835
932	15626
24835	12449
11804	10762
143510	4869
122078	6674
107484	5436
125250	3930
37739	11307
15754	7828
21596	15872
42554	9054
55849	10902
54662	12802
78615	11261
41994	13025
104095	3785
46109	12118
21336	12153
81091	8728
21539	6772
147337	2882
32781	3959
75077	6853
110471	3734
135129	2014
50445	8281
59216	9696
140917	2587
81060	3830
155119	3815
142804	4360
15339	7603
80163	5561
48792	9582
50814	14234
97229	8261
107725	7671
154329	2756
154125	1459
62986	13096
101038	5921
25857	11470
14172	22629
120477	1853
19773	14298
157529	3804
5045	5522
36847	11106
40148	19664
71650	12663
107849	3999
20738	10997
140029	4912
112694	3559
119723	2896
3497	12269
33071	8846
11152	22828
42234	5854
156172	4886
67016	13599
138891	3804
57017	4913
13618	21243
117520	4587
70953	9566
152100	2075
57268	6730
22920	16648
95665	5975
